Fill,Type,"Beam Energy, GeV",Physics On,Fill Length,Blue Avrg.,Blue Avrg. Error,Blue P_0,Blue P_0 Error,"Blue Slope, %/h","Blue Slope, %/h Error",Yellow Avrg.,Yellow Avrg. Error,Yellow P_0,Yellow P_0 Error,"Yellow Slope, %/h","Yellow Slope, %/h Error",Blue Slope Error,Yellow Slope Error
35055,phys,100.0,2024-09-03 16:44:20,29786.0,49.07,1.96,47.17,1.66,0.19,0.26,56.5,3.31,58.04,2.79,0.2,0.44,False,False
35056,phys,100.0,2024-09-04 02:21:37,22988.0,51.8,2.27,50.16,1.92,0.35,0.38,49.64,3.29,49.33,2.74,-0.06,0.59,False,False
35062,phys,100.0,2024-09-04 21:39:37,29879.0,50.45,2.01,50.61,1.71,-0.16,0.26,52.38,3.32,48.32,2.71,1.11,0.46,False,False
35063,phys,100.0,2024-09-05 07:15:15,29989.0,49.91,1.93,48.87,1.61,0.12,0.26,53.68,3.34,50.88,2.76,0.71,0.46,False,False
35064,phys,100.0,2024-09-05 16:54:19,32321.0,47.32,1.94,46.56,1.61,0.19,0.25,51.25,3.25,48.43,2.66,0.76,0.42,False,False
35065,phys,100.0,2024-09-06 03:07:10,41412.0,42.96,1.77,44.58,1.5,-0.05,0.17,47.99,2.96,48.25,2.46,0.37,0.29,False,False
35066,phys,100.0,2024-09-06 15:48:17,30088.0,46.42,1.98,46.7,1.68,-0.09,0.26,49.93,3.35,48.57,2.79,0.35,0.45,False,False
35067,undef,100.0,,,46.94,2.26,46.94,2.26,-0.18,0.54,45.77,3.32,45.84,3.32,-0.04,0.74,True,True
35068,phys,100.0,2024-09-07 02:47:59,16323.0,44.67,2.47,44.31,1.95,-0.07,0.7,55.32,4.13,50.82,3.06,2.72,1.22,False,False
35071,phys,100.0,2024-09-07 09:52:26,29633.0,49.19,2.06,50.5,1.78,-0.5,0.27,50.44,3.27,49.28,2.73,0.64,0.44,False,False
35072,phys,100.0,2024-09-07 23:10:29,29925.0,47.05,1.98,49.01,1.67,0.0,0.26,48.46,3.2,48.48,2.62,0.47,0.44,False,False
35073,phys,100.0,2024-09-08 08:56:01,8531.0,45.73,2.28,45.73,2.28,-0.18,0.54,55.02,3.15,55.1,3.15,-0.04,0.74,True,True
35075,undef,24.0,,,,,,,,,,,,,,,False,False
35078,phys,100.0,2024-09-08 17:09:08,29679.0,45.52,2.09,48.1,1.78,-0.23,0.27,55.86,3.53,57.93,2.99,-0.06,0.47,False,False
35079,phys,100.0,2024-09-09 02:44:26,29685.0,46.69,2.04,48.19,1.74,-0.18,0.27,,,,,-0.04,0.74,False,True
35080,phys,100.0,2024-09-09 14:32:04,29789.0,45.99,1.93,47.47,1.65,-0.52,0.26,47.46,3.22,48.9,2.66,0.18,0.45,False,False
35081,phys,100.0,2024-09-10 00:17:20,10096.0,46.35,2.37,46.35,2.37,-0.18,0.54,53.31,3.7,53.39,3.7,-0.04,0.74,True,True
35083,phys,100.0,2024-09-10 05:48:17,30077.0,46.3,1.95,47.65,1.67,-0.29,0.26,48.67,3.37,49.93,2.83,-0.15,0.45,False,False
35084,phys,100.0,2024-09-10 15:25:39,15054.0,48.18,2.42,47.98,1.97,0.01,0.69,51.82,3.84,50.92,3.02,2.27,1.15,False,False
35085,phys,100.0,2024-09-10 21:28:45,13846.0,49.13,2.29,49.07,1.91,0.22,0.69,47.44,3.77,44.3,3.0,2.91,1.18,False,False
35086,phys,100.0,2024-09-11 02:35:21,19287.0,44.67,2.11,46.57,1.82,-0.43,0.42,44.3,3.53,42.28,2.94,0.67,0.73,False,False
35089,phys,100.0,2024-09-11 22:27:39,35064.0,47.39,1.82,46.11,1.53,0.1,0.21,,,,,-0.04,0.74,False,True
35090,phys,100.0,2024-09-12 09:43:12,29838.0,44.7,1.83,45.28,1.57,-0.53,0.25,49.47,3.33,47.37,2.73,0.7,0.46,False,False
35091,phys,100.0,2024-09-12 19:32:33,30117.0,46.75,1.94,46.35,1.63,0.27,0.26,47.2,3.13,42.78,2.52,1.15,0.44,False,False
35092,phys,100.0,2024-09-13 05:24:37,,47.15,2.07,47.63,1.81,0.19,0.52,51.68,3.48,47.94,2.95,1.86,0.92,False,False
35093,phys,100.0,2024-09-13 19:22:58,,46.15,194.22,46.15,194.22,-0.18,0.54,45.96,3.52,46.03,3.52,-0.04,0.74,True,True
35094,phys,100.0,2024-09-13 21:14:07,,48.59,2.47,48.59,2.47,-0.18,0.54,44.81,3.46,44.88,3.46,-0.04,0.74,True,True
35095,phys,100.0,2024-09-14 01:21:52,29594.0,45.61,1.93,46.07,1.63,-0.04,0.26,47.28,3.47,47.46,2.91,0.09,0.47,False,False
35096,phys,100.0,2024-09-14 13:26:08,29705.0,47.5,1.97,49.39,1.69,0.08,0.25,49.75,3.29,48.88,2.8,0.3,0.43,False,False
35097,phys,100.0,2024-09-14 23:11:50,41416.0,46.92,1.86,49.01,1.57,-0.23,0.18,49.5,3.17,51.72,2.65,-0.21,0.31,False,False
35098,phys,100.0,2024-09-15 15:03:46,29654.0,46.99,2.01,46.49,1.71,-0.15,0.27,50.32,3.32,53.45,2.83,-0.64,0.45,False,False
35099,phys,100.0,2024-09-16 01:17:44,29625.0,48.1,2.04,49.89,1.73,-0.26,0.27,47.32,3.37,44.78,2.77,0.68,0.47,False,False
35100,phys,100.0,2024-09-16 11:39:07,,47.26,1.76,47.26,1.76,-0.18,0.54,49.03,2.75,49.1,2.75,-0.04,0.74,True,True
35101,phys,100.0,2024-09-16 15:06:01,29769.0,48.43,1.99,49.41,1.71,-0.06,0.26,48.94,3.26,48.05,2.73,0.42,0.44,False,False
35102,phys,100.0,2024-09-17 00:46:34,35672.0,46.79,1.92,47.14,1.63,-0.12,0.22,50.21,3.3,48.88,2.71,0.18,0.39,False,False
35104,phys,100.0,2024-09-17 17:12:20,29822.0,48.5,1.96,48.85,1.67,0.06,0.26,50.05,3.22,46.74,2.62,1.4,0.44,False,False
35105,phys,100.0,2024-09-18 02:55:02,16580.0,48.81,2.24,46.99,1.92,0.24,0.52,50.23,3.54,51.23,2.98,0.45,0.85,False,False
35115,phys,100.0,2024-09-19 02:24:20,,47.68,2.52,47.68,2.52,-0.18,0.54,45.04,3.43,45.11,3.43,-0.04,0.74,True,True
35116,phys,100.0,2024-09-19 03:56:10,29726.0,46.94,1.92,48.41,1.62,-0.15,0.26,49.57,3.22,48.21,2.65,0.54,0.45,False,False
35117,phys,100.0,2024-09-19 13:25:08,39398.0,44.8,2.14,45.95,1.72,-0.34,0.25,46.53,3.33,43.82,2.54,0.67,0.4,False,False
35118,phys,100.0,2024-09-20 02:14:21,29887.0,47.1,2.3,50.05,1.81,-0.68,0.37,46.39,3.8,47.54,2.88,-0.11,0.62,False,False
35119,phys,100.0,2024-09-20 11:45:20,26008.0,47.13,2.06,47.63,1.78,-0.28,0.3,52.1,3.46,51.41,2.94,0.47,0.51,False,False
35120,phys,100.0,2024-09-21 00:17:41,29806.0,45.25,1.95,44.86,1.64,-0.0,0.26,49.87,3.28,46.36,2.72,0.96,0.44,False,False
35121,phys,100.0,2024-09-21 09:57:50,30255.0,48.15,2.09,46.95,1.75,0.26,0.27,50.7,3.3,48.7,2.72,0.4,0.45,False,False
35122,phys,100.0,2024-09-21 19:30:06,29840.0,43.72,2.06,40.5,1.73,0.47,0.27,48.51,3.22,46.49,2.68,0.58,0.43,False,False
35123,phys,100.0,2024-09-22 05:21:42,29631.0,44.81,1.98,46.64,1.68,-0.13,0.27,46.53,3.29,44.86,2.72,0.4,0.46,False,False
35124,phys,100.0,2024-09-22 15:02:26,29865.0,44.07,1.99,44.15,1.67,0.3,0.27,50.75,3.41,48.83,2.79,0.95,0.48,False,False
35125,undef,24.0,,,,,,,,,,,,,,,False,False
35127,phys,100.0,2024-09-23 02:51:47,29658.0,43.76,2.14,42.45,1.8,0.15,0.29,46.53,3.29,45.7,2.7,0.34,0.46,False,False
35128,phys,100.0,2024-09-23 12:38:03,5179.0,44.03,2.39,43.23,2.27,-0.42,2.32,47.45,3.4,40.15,2.77,9.97,2.69,False,False
35129,phys,100.0,2024-09-23 16:10:31,,43.38,2.09,44.63,1.77,-0.29,0.28,45.2,3.36,38.89,2.74,1.36,0.46,False,False
35130,phys,100.0,2024-09-24 01:44:24,29583.0,46.39,2.0,45.23,1.69,-0.01,0.27,48.7,3.36,45.99,2.78,0.79,0.46,False,False
35131,phys,100.0,2024-09-24 11:13:50,29299.0,46.57,2.34,48.29,1.83,0.11,0.38,44.22,3.85,42.16,2.87,0.73,0.64,False,False
35132,phys,100.0,2024-09-24 20:45:14,,46.47,2.33,46.47,2.33,-0.18,0.54,48.47,3.44,48.55,3.44,-0.04,0.74,True,True
35133,phys,100.0,2024-09-24 21:59:27,22690.0,44.35,2.05,44.66,1.75,-0.32,0.36,45.54,3.28,47.05,2.74,-0.27,0.59,False,False
35134,phys,100.0,2024-09-25 05:24:25,16146.0,46.76,2.18,46.6,1.89,-0.08,0.5,44.78,3.31,41.36,2.77,1.48,0.81,False,False
35140,phys,100.0,2024-09-25 16:35:28,,,,,,-0.18,0.54,61.58,68.6,61.68,68.6,-0.04,0.74,True,True
35141,undef,100.0,,,,,,,-0.18,0.54,67.28,67.38,67.39,67.38,-0.04,0.74,True,True
35143,phys,100.0,2024-09-25 19:05:49,29833.0,45.72,2.22,46.57,1.9,-0.39,0.29,49.35,3.3,49.47,2.75,0.18,0.45,False,False
35144,phys,100.0,2024-09-26 04:34:01,19807.0,42.82,2.09,43.09,1.82,-0.47,0.4,45.4,3.37,41.23,2.77,1.73,0.69,False,False
35147,phys,100.0,2024-09-26 13:46:25,38041.0,42.12,1.88,40.43,1.6,0.08,0.2,44.2,3.15,44.55,2.64,-0.09,0.34,False,False
35148,phys,100.0,2024-09-27 01:34:18,29961.0,43.41,2.0,45.25,1.71,-0.49,0.27,44.89,3.39,43.35,2.79,0.38,0.47,False,False
35149,phys,100.0,2024-09-27 11:32:31,29769.0,44.3,2.1,45.78,1.82,-0.82,0.28,44.16,3.31,42.41,2.72,0.29,0.47,False,False
35150,phys,100.0,2024-09-27 22:00:59,29936.0,42.7,2.03,43.16,1.72,-0.03,0.27,43.51,3.28,45.33,2.73,-0.22,0.45,False,False
35151,phys,100.0,2024-09-28 07:31:47,35918.0,44.39,2.03,45.54,1.71,-0.43,0.23,46.19,3.13,45.07,2.52,0.43,0.38,False,False
35152,phys,100.0,2024-09-28 19:00:46,29769.0,40.96,2.21,42.15,1.83,-0.32,0.31,43.49,3.22,40.57,2.65,0.56,0.45,False,False
35153,phys,100.0,2024-09-29 04:23:59,29691.0,42.86,2.57,120.97,2.21,-0.23,0.33,44.58,4.08,43.23,2.97,0.36,0.69,False,False
35154,phys,100.0,2024-09-29 14:23:37,29825.0,43.54,2.03,44.99,1.75,-0.03,0.26,42.72,2.28,43.41,1.89,0.13,0.31,False,False
