Fill,Beam E,Start T,Stop T,Blue P_0,Blue dP/dT,Yellow P_0,Yellow dP/dT,Yellow dP/dT Error,Yellow P_0 Error,Blue dP/dT Error,Blue P_0 Error,Duration,Yellow P_f,Blue P_f,Yellow P_avg,Blue P_avg
34521,100,2024-05-24 03:20:17,2024-05-24 11:45:58,48.73,0.16,51.47,-0.04,0.27,1.75,0.41,2.07,30341.0,51.296483192222226,49.38711863555556,51.38324159611111,49.05855931777778
34525,100,2024-05-24 18:32:27,2024-05-25 02:57:50,43.93,0.25,57.43,-0.66,0.33,2.31,0.31,2.2,30323.0,54.23734186833333,44.85506207638888,55.83367093416666,44.39253103819444
34526,100,2024-05-25 04:04:46,2024-05-25 12:34:01,34.45,0.19,43.99,-0.2,0.3,2.18,0.28,2.02,30555.0,43.24326975,35.0055493125,43.616634875,34.727774656250006
34527,100,2024-05-25 14:00:30,2024-05-25 22:34:05,52.67,-0.36,53.75,0.2,0.29,1.9,0.27,1.72,30815.0,54.67017013888889,51.04697395,54.210085069444446,51.858486975000005
34528,100,2024-05-25 23:46:17,2024-05-26 08:30:16,41.02,-0.25,49.77,-0.21,0.3,2.29,0.29,2.02,31439.0,48.8572472325,40.12442515277778,49.31362361625,40.57221257638889
34529,100,2024-05-26 09:39:17,2024-05-26 18:00:51,40.87,0.05,56.29,-0.04,0.33,2.29,0.28,1.99,30094.0,56.10177874888889,41.040825247222216,56.19588937444445,40.95541262361111
34531,100,2024-05-26 20:02:18,2024-05-27 04:20:16,43.41,-0.43,52.75,-0.35,0.29,2.04,0.3,1.94,29878.0,51.217715069444445,41.86080080166666,51.98385753472222,42.63540040083333
34532,100,2024-05-27 05:27:57,2024-05-27 13:42:53,44.22,0.09,56.64,0.29,0.46,2.4,0.57,1.83,29696.0,57.99492949333334,44.548289280000006,57.31746474666667,44.38414464
34535,100,2024-05-27 16:32:57,2024-05-27 20:34:18,45.2,0.2,53.3,0.88,0.8,2.76,0.9,2.44,14481.0,55.1867134,45.56363400000001,54.2433567,45.381817000000005
34536,100,2024-05-27 23:20:47,2024-05-28 22:14:13,46.45,0.6,48.61,-0.29,0.44,2.19,0.53,2.15,82406.0,45.38314127388889,52.82959783333334,46.99657063694444,49.63979891666667
34547,100,2024-05-29 22:32:22,2024-05-30 07:25:25,51.33,-0.56,49.82,0.22,0.27,1.98,0.24,1.81,31983.0,50.79374020333333,48.776264059999995,50.30687010166666,50.05313203
34548,100,2024-05-30 09:04:41,2024-05-30 17:28:41,53.32,-1.23,62.68,0.06,0.32,2.32,0.3,2.05,30240.0,62.9959072,47.8109776,62.8379536,50.5654888
34549,100,2024-05-30 21:50:24,2024-05-31 06:18:05,48.5,0.27,53.04,0.25,0.29,1.96,0.3,2.04,30461.0,54.161980166666666,49.608018875000006,53.60099008333333,49.0540094375
34550,100,2024-05-31 07:30:06,2024-05-31 07:31:31,56.69,-0.18,52.67,-0.04,0.74,2.75,0.54,2.46,85.0,52.669502561111116,56.687590675,52.66975128055556,56.6887953375
34551,100,1970-01-01 00:00:00,1970-01-01 00:00:00,54.33,-0.18,57.38,-0.04,0.74,3.14,0.54,2.65,0.0,57.38,54.33,57.38,54.33
34553,100,2024-05-31 15:04:52,2024-05-31 15:08:32,52.77,-0.18,58.86,-0.04,0.74,2.79,0.54,2.64,220.0,58.8585612,52.7641953,58.8592806,52.76709765
34554,100,2024-05-31 16:30:41,2024-05-31 16:31:15,49.42,-0.18,51.22,-0.04,0.74,2.75,0.54,2.33,34.0,51.21980650222222,49.41915986,51.219903251111106,49.41957993
34555,100,2024-05-31 18:04:45,2024-05-31 18:05:47,50.41,-0.18,50.32,-0.04,0.74,2.63,0.54,2.32,62.0,50.319653351111114,50.408437289999995,50.31982667555556,50.409218644999996
34558,100,2024-05-31 21:49:17,2024-05-31 22:38:59,53.1,-0.18,56.14,-0.04,0.74,2.96,0.54,3.04,2982.0,56.121398946666666,53.0208279,56.13069947333334,53.06041395
34566,100,2024-06-01 16:24:14,2024-06-01 23:22:57,60.0,-0.15,60.71,-0.51,0.37,2.16,0.38,2.06,25123.0,58.549275449166664,59.371925,59.62963772458333,59.6859625
34567,100,2024-06-02 02:38:24,2024-06-02 02:39:08,58.16,-0.18,60.02,-0.04,0.74,3.14,0.54,2.67,44.0,60.019706568888886,58.15872048,60.019853284444444,58.15936024
34568,100,2024-06-02 03:50:24,2024-06-02 10:22:41,57.43,0.07,56.56,0.64,0.42,2.18,0.42,2.18,23537.0,58.92667150222223,57.692836371388886,57.74333575111112,57.56141818569444
34569,100,2024-06-02 11:27:57,2024-06-02 16:01:30,55.46,1.54,64.4,0.52,0.83,2.71,0.83,2.42,16413.0,65.92677373333333,59.353911303333334,65.16338686666667,57.406955651666664
34570,100,2024-06-02 17:43:01,2024-06-03 00:12:09,56.13,-0.22,59.77,0.35,0.38,2.13,0.42,2.15,23348.0,61.126745794444446,55.32912468666667,60.44837289722223,55.729562343333335
34571,100,2024-06-03 01:25:35,2024-06-03 07:47:19,55.05,0.43,60.73,-0.23,0.42,2.16,0.46,2.28,22904.0,59.84133116222222,56.55603343333333,60.285665581111104,55.80301671666666
34572,100,2024-06-03 09:00:21,2024-06-03 15:23:15,57.09,-1.1,56.79,-0.17,0.41,2.33,0.41,2.1,22974.0,56.173894755,53.08237715,56.4819473775,55.086188575
34573,100,2024-06-03 17:05:55,2024-06-04 00:01:19,52.64,-1.05,55.22,0.38,0.46,2.27,0.46,2.26,24924.0,56.67276457333334,48.813335200000004,55.94638228666667,50.7266676
34574,100,2024-06-04 02:03:27,2024-06-04 08:30:09,54.18,-0.32,56.75,-0.23,0.38,2.12,0.4,2.0,23202.0,55.908766375,53.062591680000004,56.3293831875,53.62129584
34575,100,2024-06-04 09:45:19,2024-06-04 16:57:06,53.21,-0.4,58.94,0.23,0.48,2.47,0.47,2.1,25907.0,59.91555687055555,51.678320588888894,59.42777843527777,52.444160294444444
34576,100,2024-06-04 19:34:38,2024-06-04 19:35:17,59.76,-0.18,52.46,-0.04,0.74,2.97,0.54,3.43,39.0,52.45977267333333,59.75883468,52.45988633666667,59.75941734
34577,100,2024-06-04 20:44:24,2024-06-05 03:05:53,55.93,-0.36,49.84,0.4,0.78,4.22,0.93,4.94,22889.0,51.10754195555556,54.649818229999994,50.47377097777778,55.289909115
34578,100,2024-06-05 04:24:28,2024-06-05 11:56:47,52.0,-0.99,55.54,0.14,0.28,1.91,0.29,1.93,27139.0,56.12617224555556,48.119123,55.83308612277778,50.0595615
34584,100,2024-06-07 05:22:18,2024-06-07 05:23:50,54.48,-0.18,51.67,-0.04,0.74,2.94,0.54,2.55,92.0,51.669471817777776,54.47749392,51.66973590888889,54.478746959999995
34585,100,2024-06-07 07:09:49,2024-06-07 13:18:00,50.67,-0.58,55.74,0.09,0.44,2.36,0.36,1.96,22091.0,56.047838084999995,48.866601215,55.8939190425,49.7683006075
34586,100,2024-06-07 19:18:19,2024-06-08 01:35:41,51.63,0.08,58.04,-0.1,0.39,2.07,0.41,2.02,22642.0,57.67496064444444,51.889779213333334,57.857480322222216,51.75988960666667
34587,100,2024-06-08 02:48:28,2024-06-08 09:06:22,55.74,-0.97,56.38,-0.02,0.39,2.15,0.43,2.18,22674.0,56.30897999333334,52.33462973,56.34448999666667,54.037314865
